item,org,date,quantity
3959313,40022636,2017-08-01,2129.0
3959313,40022636,2017-09-01,1444.0
3959313,40022636,2017-10-01,844.0
3959313,40022636,2017-11-01,1310.0
3959313,40022636,2017-12-01,1037.0
3959313,40022636,2018-01-01,978.0
3959313,40022636,2018-02-01,1013.0
3959313,40022636,2018-03-01,1497.0
3959313,40022636,2018-04-01,1689.0
3959313,40022636,2018-05-01,1326.0
3959313,40022636,2018-06-01,1260.0
3959313,40022636,2018-07-01,1664.0
3959313,40022636,2018-08-01,1637.0
3959313,40022636,2018-09-01,1187.0
3959313,40022636,2018-10-01,1642.0
3959313,40022636,2018-11-01,1277.0
3959313,40022636,2018-12-01,990.0
3959313,40022636,2019-01-01,958.0
3959313,40022636,2019-02-01,922.0
3959313,40022636,2019-03-01,1145.0
3959313,40022636,2019-04-01,1110.0
3959313,40022636,2019-05-01,1378.0
3959313,40022636,2019-06-01,1095.0
3959313,40022636,2019-07-01,1426.0
3959313,40022636,2019-08-01,1684.0
3959313,40022636,2019-09-01,1197.0
3959313,40022636,2019-10-01,1247.0
3959313,40022636,2019-11-01,1011.0
3959313,40022636,2019-12-01,904.0
3959313,40022636,2020-01-01,1203.0
3959313,40022636,2020-02-01,1073.0
3959313,40022636,2020-03-01,1247.0
3959313,40022636,2020-04-01,810.0
3959313,40022636,2020-05-01,1058.0
3959313,40022636,2020-06-01,1318.0
3959313,40022636,2020-07-01,1163.0
3959313,40022636,2020-08-01,1143.0
3959313,40022636,2020-09-01,1022.0
3959313,40022636,2020-10-01,1120.0
3959313,40022636,2020-11-01,1185.0
3959313,40022636,2020-12-01,1700.0
3959313,40022636,2021-01-01,416.0
3959313,40022636,2021-02-01,1701.0
3959313,42023714,2014-03-01,3975.0
3959313,42023714,2014-04-01,4857.0
3959313,42023714,2014-05-01,2113.0
3959313,42023714,2014-06-01,4779.0
3959313,42023714,2014-07-01,3804.0
3959313,42023714,2014-08-01,4448.0
3959313,42023714,2014-09-01,4360.0
3959313,42023714,2014-10-01,4189.0
3959313,42023714,2014-11-01,4244.0
3959313,42023714,2014-12-01,5187.0
3959313,42023714,2015-01-01,3236.0
3959313,42023714,2015-02-01,4996.0
3959313,42023714,2015-03-01,4427.0
3959313,42023714,2015-04-01,5205.0
3959313,42023714,2015-05-01,3797.0
3959313,42023714,2015-06-01,3933.0
3959313,42023714,2015-07-01,4593.0
3959313,42023714,2015-08-01,6353.0
3959313,42023714,2015-09-01,5021.0
3959313,42023714,2015-10-01,5244.0
3959313,42023714,2015-11-01,5415.0
3959313,42023714,2015-12-01,7453.0
3959313,42023714,2016-01-01,4664.0
3959313,42023714,2016-02-01,7173.0
3959313,42023714,2016-03-01,7656.0
3959313,42023714,2016-04-01,5148.0
3959313,42023714,2016-05-01,6129.0
3959313,42023714,2016-06-01,6666.0
3959313,42023714,2016-07-01,4964.0
