,bid2val,N,alpha,gamma,egreedy,design,asynchronous,feedback,num_actions,counterfactual
99,0.9333333333333333,6,0.01,0.0,0,0,1,1,16,
100,1.0,2,0.1,0.0,1,1,0,1,6,
101,0.9333333333333333,6,0.01,0.0,1,0,1,1,16,
102,0.8,6,0.1,0.99,1,0,0,0,6,
103,1.0,6,0.1,0.99,0,0,1,1,6,
104,0.8,6,0.1,0.0,0,0,1,0,6,
105,1.0,6,0.1,0.0,1,0,1,0,6,
106,0.4,2,0.01,0.0,1,1,1,0,6,
107,0.7333333333333333,2,0.1,0.0,0,1,1,0,16,
108,0.9333333333333333,2,0.01,0.99,1,0,0,1,16,
109,0.8,2,0.1,0.0,0,0,1,0,6,
110,0.9333333333333333,6,0.1,0.0,1,1,1,0,16,
111,1.0,6,0.01,0.99,0,1,0,0,16,
112,0.8,6,0.01,0.0,0,0,0,1,6,
113,0.9333333333333333,6,0.01,0.0,1,0,1,0,16,
114,1.0,2,0.1,0.0,0,1,0,1,16,
115,1.0,2,0.01,0.99,0,1,0,1,16,
116,1.0,6,0.1,0.99,1,1,0,1,16,
117,0.9333333333333333,2,0.01,0.0,1,0,0,1,16,
118,0.9333333333333333,6,0.01,0.99,0,1,1,0,16,
119,1.0,6,0.1,0.0,0,1,0,1,6,
120,0.8,6,0.01,0.99,1,1,1,1,6,
121,0.9333333333333333,6,0.1,0.0,1,0,1,0,16,
122,1.0,2,0.1,0.99,1,1,0,0,6,
123,0.8,2,0.1,0.0,0,1,0,0,6,
124,1.0,6,0.1,0.99,0,1,0,1,16,
125,1.0,6,0.1,0.0,0,0,0,1,6,
126,1.0,6,0.01,0.99,1,1,0,1,6,
127,0.8,6,0.1,0.0,1,0,1,1,6,
128,0.9333333333333333,6,0.1,0.0,1,0,0,1,16,
129,1.0,2,0.1,0.0,0,1,0,1,16,
130,0.9333333333333333,6,0.1,0.0,0,1,1,0,16,
131,1.0,2,0.1,0.99,1,1,0,0,6,
132,0.8,6,0.01,0.0,1,0,0,0,6,
133,1.0,2,0.01,0.99,1,1,0,1,6,
134,1.0,6,0.01,0.0,1,0,0,0,16,
135,0.8,6,0.01,0.99,0,1,1,0,6,
136,0.9333333333333333,2,0.1,0.0,0,0,1,1,16,
137,0.9333333333333333,2,0.01,0.0,0,1,0,0,16,
138,0.9333333333333333,2,0.01,0.99,0,1,0,1,16,
139,0.26666666666666666,2,0.1,0.0,0,1,1,1,16,
140,0.8,2,0.1,0.99,1,1,1,0,6,
141,0.8,6,0.1,0.99,0,0,1,0,6,
142,0.8,2,0.01,0.0,0,0,1,0,6,
143,0.4,2,0.01,0.0,1,1,0,0,6,
144,1.0,6,0.1,0.99,1,1,0,1,16,
145,0.4,2,0.1,0.99,1,1,1,1,6,
146,1.0,2,0.01,0.99,0,0,1,1,6,
147,0.2,2,0.01,0.0,1,1,1,1,16,
148,0.9333333333333333,2,0.01,0.99,1,1,0,0,16,
149,0.8666666666666667,2,0.01,0.0,1,1,1,0,16,
150,0.5333333333333333,2,0.1,0.0,0,1,1,1,16,
151,0.9333333333333333,2,0.01,0.99,1,0,1,0,16,
152,0.4666666666666667,2,0.1,0.99,0,1,1,0,16,
153,0.9333333333333333,2,0.01,0.0,0,0,0,0,16,
154,0.4,2,0.01,0.0,1,1,1,0,16,
155,0.8,2,0.1,0.0,1,0,1,1,6,
156,1.0,2,0.1,0.99,0,1,1,0,16,
157,1.0,2,0.1,0.99,1,1,0,0,6,
158,0.9333333333333333,6,0.01,0.0,0,0,0,1,16,
159,0.9333333333333333,2,0.01,0.99,1,0,1,0,16,
160,0.6,2,0.1,0.0,1,1,1,1,16,
161,0.8,2,0.01,0.99,1,1,1,0,6,
162,0.8,2,0.01,0.0,1,0,0,1,6,
